#,Open Time,Type,Lots,Symbol,Price,Stop/Loss,Take Profit,Close Time,Close Price,Profit,Comment,MagicNumber
81903083,2018.02.22 20:00,0,0.02,AUDCAD,0.9979,0.99429,1.0701,2018.02.23 09:20,0.99429,-5.68,HA_SMA-long on strategy_2[sl],20180207
81903084,2018.02.22 20:00,0,0.02,NZDCAD,0.93413,0.93086,0.99953,2018.02.23 01:57,0.93081,-5.23,HA_SMA-long on strategy_2[sl],20180207
81904292,2018.02.23 00:00,0,0.02,GBPUSD,1.39616,1.38922,1.53496,2018.02.26 13:58,1.40457,16.82,IchimokuV1.0- long on GBPUSD,20170909
81907096,2018.02.23 04:00,0,0.02,GBPUSD,1.39575,1.38908,1.52915,2018.02.26 08:22,1.40203,12.56,HA_SMA-long on strategy_2,20180207
81907099,2018.02.23 04:00,0,0.03,NZDCAD,0.93036,0.92692,0.99916,2018.02.23 08:00,0.92785,-5.92,HA_SMA-long on strategy_2,20180207
81910021,2018.02.23 08:00,1,0.02,NZDUSD,0.72957,0.73332,0.65436,2018.02.26 07:33,0.73332,-7.5,bbMacd - short 0.02 on NZDU[sl],20180112
81910028,2018.02.23 08:00,1,0.03,NZDUSD,0.72956,0.73332,0.65436,2018.02.26 07:33,0.73332,-11.28,IchimokuV1.0- short on NZDU[sl],20170909
81914427,2018.02.23 12:00,1,0.03,AUDUSD,0.78201,0.78579,0.70662,2018.02.26 04:28,0.78579,-11.34,IchimokuV1.0- short on AUDU[sl],20170909
81919559,2018.02.23 16:00,1,0.02,AUDUSD,0.78198,0.7857,0.70758,2018.02.26 04:10,0.78571,-7.46,HA_SMA-short on strategy_2[sl],20180207
81919564,2018.02.23 16:00,1,0.03,NZDUSD,0.72896,0.73262,0.65576,2018.02.26 05:16,0.73261,-10.95,HA_SMA-short on strategy_2[sl],20180207
